epoch : 111/500, train loss = 8.7087, val loss = 15.0208
epoch : 112/500, train loss = 7.2845, val loss = 6.1864
epoch : 113/500, train loss = 6.2859, val loss = 6.3172
epoch : 114/500, train loss = 6.2381, val loss = 13.6554
epoch : 115/500, train loss = 5.7345, val loss = 5.6768
epoch : 116/500, train loss = 7.3127, val loss = 7.4902
epoch : 117/500, train loss = 6.6857, val loss = 12.9528
epoch : 118/500, train loss = 5.8671, val loss = 23.8440
epoch : 119/500, train loss = 5.5228, val loss = 9.9686
epoch : 120/500, train loss = 5.0291, val loss = 5.2049
epoch : 121/500, train loss = 4.8138, val loss = 4.5104
epoch : 122/500, train loss = 4.5430, val loss = 4.0357
epoch : 123/500, train loss = 4.7422, val loss = 4.9707
epoch : 124/500, train loss = 4.6237, val loss = 4.4817
epoch : 125/500, train loss = 4.2919, val loss = 4.3164
epoch : 126/500, train loss = 4.3482, val loss = 5.8567
epoch : 127/500, train loss = 4.2627, val loss = 3.8771
epoch : 128/500, train loss = 4.1187, val loss = 3.8755
epoch : 129/500, train loss = 5.1218, val loss = 4.0313
epoch : 130/500, train loss = 5.3000, val loss = 4.6879
epoch : 131/500, train loss = 5.8940, val loss = 4.6050
epoch : 132/500, train loss = 4.8200, val loss = 4.2192
epoch : 133/500, train loss = 4.5376, val loss = 18.8088
epoch : 134/500, train loss = 4.7180, val loss = 4.2901
epoch : 135/500, train loss = 5.8746, val loss = 4.4893
epoch : 136/500, train loss = 7.8411, val loss = 14.0947
epoch : 137/500, train loss = 5.3230, val loss = 5.5551
epoch : 138/500, train loss = 5.5421, val loss = 5.2113
epoch : 139/500, train loss = 4.5665, val loss = 6.4961
epoch : 140/500, train loss = 4.7116, val loss = 3.8728
epoch : 141/500, train loss = 4.2479, val loss = 5.9170
epoch : 142/500, train loss = 3.8798, val loss = 4.8985
epoch : 143/500, train loss = 3.8813, val loss = 7.3145
epoch : 144/500, train loss = 4.5748, val loss = 3.5051
epoch : 145/500, train loss = 5.0715, val loss = 6.9303
