epoch : 111/500, train loss = 0.0124, val loss = 0.0261
epoch : 112/500, train loss = 0.0123, val loss = 0.0269
epoch : 113/500, train loss = 0.0122, val loss = 0.0270
epoch : 114/500, train loss = 0.0120, val loss = 0.0269
epoch : 115/500, train loss = 0.0119, val loss = 0.0270
epoch : 116/500, train loss = 0.0118, val loss = 0.0271
epoch : 117/500, train loss = 0.0116, val loss = 0.0278
epoch : 118/500, train loss = 0.0115, val loss = 0.0282
epoch : 119/500, train loss = 0.0116, val loss = 0.0268
epoch : 120/500, train loss = 0.0114, val loss = 0.0275
epoch : 121/500, train loss = 0.0112, val loss = 0.0274
epoch : 122/500, train loss = 0.0112, val loss = 0.0282
epoch : 123/500, train loss = 0.0111, val loss = 0.0282
epoch : 124/500, train loss = 0.0109, val loss = 0.0278
epoch : 125/500, train loss = 0.0109, val loss = 0.0277
epoch : 126/500, train loss = 0.0109, val loss = 0.0273
epoch : 127/500, train loss = 0.0107, val loss = 0.0276
epoch : 128/500, train loss = 0.0106, val loss = 0.0278
epoch : 129/500, train loss = 0.0106, val loss = 0.0280
epoch : 130/500, train loss = 0.0106, val loss = 0.0286
epoch : 131/500, train loss = 0.0105, val loss = 0.0280
epoch : 132/500, train loss = 0.0104, val loss = 0.0288
epoch : 133/500, train loss = 0.0104, val loss = 0.0280
epoch : 134/500, train loss = 0.0103, val loss = 0.0283
epoch : 135/500, train loss = 0.0102, val loss = 0.0281
epoch : 136/500, train loss = 0.0102, val loss = 0.0289
epoch : 137/500, train loss = 0.0101, val loss = 0.0284
epoch : 138/500, train loss = 0.0101, val loss = 0.0288
epoch : 139/500, train loss = 0.0101, val loss = 0.0288
epoch : 140/500, train loss = 0.0101, val loss = 0.0289
epoch : 141/500, train loss = 0.0100, val loss = 0.0284
epoch : 142/500, train loss = 0.0099, val loss = 0.0288
epoch : 143/500, train loss = 0.0099, val loss = 0.0280
epoch : 144/500, train loss = 0.0098, val loss = 0.0285
epoch : 145/500, train loss = 0.0096, val loss = 0.0286
epoch : 146/500, train loss = 0.0096, val loss = 0.0287
epoch : 147/500, train loss = 0.0096, val loss = 0.0295
epoch : 148/500, train loss = 0.0096, val loss = 0.0283
epoch : 149/500, train loss = 0.0096, val loss = 0.0287
epoch : 150/500, train loss = 0.0095, val loss = 0.0299
epoch : 151/500, train loss = 0.0094, val loss = 0.0293
epoch : 152/500, train loss = 0.0094, val loss = 0.0292
epoch : 153/500, train loss = 0.0092, val loss = 0.0295
epoch : 154/500, train loss = 0.0093, val loss = 0.0288
epoch : 155/500, train loss = 0.0092, val loss = 0.0296
epoch : 156/500, train loss = 0.0093, val loss = 0.0301
epoch : 157/500, train loss = 0.0092, val loss = 0.0287
epoch : 158/500, train loss = 0.0091, val loss = 0.0296
epoch : 159/500, train loss = 0.0091, val loss = 0.0293
epoch : 160/500, train loss = 0.0091, val loss = 0.0295
epoch : 161/500, train loss = 0.0091, val loss = 0.0296
epoch : 162/500, train loss = 0.0091, val loss = 0.0292
epoch : 163/500, train loss = 0.0090, val loss = 0.0301
epoch : 164/500, train loss = 0.0090, val loss = 0.0291
epoch : 165/500, train loss = 0.0090, val loss = 0.0302
epoch : 166/500, train loss = 0.0090, val loss = 0.0303
epoch : 167/500, train loss = 0.0090, val loss = 0.0299
epoch : 168/500, train loss = 0.0089, val loss = 0.0297
epoch : 169/500, train loss = 0.0089, val loss = 0.0302
epoch : 170/500, train loss = 0.0089, val loss = 0.0298
epoch : 171/500, train loss = 0.0087, val loss = 0.0297
epoch : 172/500, train loss = 0.0088, val loss = 0.0299
epoch : 173/500, train loss = 0.0087, val loss = 0.0308
epoch : 174/500, train loss = 0.0087, val loss = 0.0292
epoch : 175/500, train loss = 0.0087, val loss = 0.0301
epoch : 176/500, train loss = 0.0085, val loss = 0.0298
epoch : 177/500, train loss = 0.0086, val loss = 0.0307
epoch : 178/500, train loss = 0.0086, val loss = 0.0303
epoch : 179/500, train loss = 0.0086, val loss = 0.0303
epoch : 180/500, train loss = 0.0086, val loss = 0.0305
epoch : 181/500, train loss = 0.0086, val loss = 0.0299
