epoch : 111/500, train loss = 2.1201, val loss = 2.0538
epoch : 112/500, train loss = 1.9252, val loss = 1.9934
epoch : 113/500, train loss = 1.9125, val loss = 1.9679
epoch : 114/500, train loss = 1.9020, val loss = 2.1155
epoch : 115/500, train loss = 1.8400, val loss = 1.9188
epoch : 116/500, train loss = 2.0500, val loss = 2.2564
epoch : 117/500, train loss = 1.9512, val loss = 1.9172
epoch : 118/500, train loss = 1.8301, val loss = 2.0312
epoch : 119/500, train loss = 1.9218, val loss = 2.1656
epoch : 120/500, train loss = 1.9367, val loss = 1.9796
epoch : 121/500, train loss = 1.9494, val loss = 1.9007
epoch : 122/500, train loss = 1.8882, val loss = 2.0189
epoch : 123/500, train loss = 2.0715, val loss = 2.5304
epoch : 124/500, train loss = 2.3753, val loss = 2.6016
epoch : 125/500, train loss = 2.1844, val loss = 2.0713
epoch : 126/500, train loss = 1.8750, val loss = 2.2416
epoch : 127/500, train loss = 1.8774, val loss = 1.9378
epoch : 128/500, train loss = 1.7869, val loss = 1.9211
epoch : 129/500, train loss = 1.7908, val loss = 1.8650
epoch : 130/500, train loss = 1.9645, val loss = 1.9637
epoch : 131/500, train loss = 1.8120, val loss = 2.0043
epoch : 132/500, train loss = 1.8710, val loss = 1.9043
epoch : 133/500, train loss = 1.8160, val loss = 1.9176
epoch : 134/500, train loss = 1.7955, val loss = 1.9706
epoch : 135/500, train loss = 1.7729, val loss = 1.8651
epoch : 136/500, train loss = 1.8807, val loss = 1.9484
epoch : 137/500, train loss = 1.8774, val loss = 2.1248
epoch : 138/500, train loss = 1.8714, val loss = 1.8665
epoch : 139/500, train loss = 1.6994, val loss = 1.8382
epoch : 140/500, train loss = 1.6413, val loss = 1.8288
epoch : 141/500, train loss = 1.7857, val loss = 2.0211
epoch : 142/500, train loss = 1.7550, val loss = 1.8389
epoch : 143/500, train loss = 1.7569, val loss = 1.8688
epoch : 144/500, train loss = 1.7629, val loss = 1.9011
epoch : 145/500, train loss = 1.6429, val loss = 1.9524
epoch : 146/500, train loss = 1.8511, val loss = 1.8418
epoch : 147/500, train loss = 1.8236, val loss = 2.0908
epoch : 148/500, train loss = 1.7724, val loss = 1.9916
epoch : 149/500, train loss = 1.8319, val loss = 1.8806
epoch : 150/500, train loss = 1.7879, val loss = 2.0400
epoch : 151/500, train loss = 1.8871, val loss = 1.8539
epoch : 152/500, train loss = 1.9794, val loss = 2.3458
epoch : 153/500, train loss = 2.2430, val loss = 2.2400
