epoch : 111/500, train loss = 1.5654, val loss = 33.7482
epoch : 112/500, train loss = 1.5582, val loss = 34.1466
epoch : 113/500, train loss = 1.5229, val loss = 35.0134
epoch : 114/500, train loss = 1.4983, val loss = 35.4512
epoch : 115/500, train loss = 1.5010, val loss = 34.1015
epoch : 116/500, train loss = 1.4928, val loss = 35.4977
epoch : 117/500, train loss = 1.5002, val loss = 33.2673
epoch : 118/500, train loss = 1.4693, val loss = 35.3721
epoch : 119/500, train loss = 1.4406, val loss = 34.8294
epoch : 120/500, train loss = 1.4683, val loss = 34.2171
epoch : 121/500, train loss = 1.4593, val loss = 35.7877
epoch : 122/500, train loss = 1.4397, val loss = 35.1437
epoch : 123/500, train loss = 1.4367, val loss = 33.6023
epoch : 124/500, train loss = 1.4142, val loss = 35.5535
epoch : 125/500, train loss = 1.3757, val loss = 35.4493
epoch : 126/500, train loss = 1.4164, val loss = 34.1382
epoch : 127/500, train loss = 1.3801, val loss = 35.0801
epoch : 128/500, train loss = 1.3522, val loss = 36.1995
epoch : 129/500, train loss = 1.3167, val loss = 35.6444
epoch : 130/500, train loss = 1.3260, val loss = 34.6190
epoch : 131/500, train loss = 1.3533, val loss = 35.7759
epoch : 132/500, train loss = 1.3202, val loss = 34.6158
epoch : 133/500, train loss = 1.3037, val loss = 35.0874
epoch : 134/500, train loss = 1.3120, val loss = 34.4014
epoch : 135/500, train loss = 1.2847, val loss = 34.9358
epoch : 136/500, train loss = 1.2512, val loss = 35.4323
epoch : 137/500, train loss = 1.2618, val loss = 35.9064
epoch : 138/500, train loss = 1.2560, val loss = 34.1166
epoch : 139/500, train loss = 1.2699, val loss = 35.9132
epoch : 140/500, train loss = 1.2488, val loss = 35.9452
epoch : 141/500, train loss = 1.2377, val loss = 35.8702
epoch : 142/500, train loss = 1.2109, val loss = 35.5998
epoch : 143/500, train loss = 1.2134, val loss = 35.8057
epoch : 144/500, train loss = 1.2000, val loss = 35.5223
epoch : 145/500, train loss = 1.1894, val loss = 35.0427
epoch : 146/500, train loss = 1.1790, val loss = 35.2714
epoch : 147/500, train loss = 1.1678, val loss = 35.4347
epoch : 148/500, train loss = 1.1654, val loss = 35.8417
epoch : 149/500, train loss = 1.1794, val loss = 36.2254
epoch : 150/500, train loss = 1.1685, val loss = 36.1532
epoch : 151/500, train loss = 1.1594, val loss = 35.9166
epoch : 152/500, train loss = 1.1475, val loss = 36.0314
epoch : 153/500, train loss = 1.1591, val loss = 36.6609
epoch : 154/500, train loss = 1.1478, val loss = 36.3491
epoch : 155/500, train loss = 1.1358, val loss = 35.4779
epoch : 156/500, train loss = 1.1375, val loss = 36.5555
epoch : 157/500, train loss = 1.1447, val loss = 36.1770
epoch : 158/500, train loss = 1.1316, val loss = 34.7729
epoch : 159/500, train loss = 1.1368, val loss = 36.7298
epoch : 160/500, train loss = 1.1189, val loss = 36.3593
epoch : 161/500, train loss = 1.1127, val loss = 36.2189
epoch : 162/500, train loss = 1.1309, val loss = 36.4281
epoch : 163/500, train loss = 1.1379, val loss = 36.7363
epoch : 164/500, train loss = 1.1452, val loss = 36.0728
epoch : 165/500, train loss = 1.1190, val loss = 37.0080
epoch : 166/500, train loss = 1.1399, val loss = 36.4908
epoch : 167/500, train loss = 1.1084, val loss = 36.1955
epoch : 168/500, train loss = 1.1386, val loss = 36.8147
epoch : 169/500, train loss = 1.1297, val loss = 37.0114
epoch : 170/500, train loss = 1.1248, val loss = 36.3151
epoch : 171/500, train loss = 1.1168, val loss = 37.2478
epoch : 172/500, train loss = 1.1208, val loss = 35.4929
epoch : 173/500, train loss = 1.0990, val loss = 37.8468
epoch : 174/500, train loss = 1.1094, val loss = 36.2376
epoch : 175/500, train loss = 1.1095, val loss = 36.1230
epoch : 176/500, train loss = 1.0814, val loss = 36.0427
epoch : 177/500, train loss = 1.0700, val loss = 37.5753
epoch : 178/500, train loss = 1.0771, val loss = 35.4309
epoch : 179/500, train loss = 1.1288, val loss = 35.8769
epoch : 180/500, train loss = 1.0816, val loss = 37.2950
epoch : 181/500, train loss = 1.0800, val loss = 36.2298
epoch : 182/500, train loss = 1.0758, val loss = 37.7992
epoch : 183/500, train loss = 1.0908, val loss = 35.9703
epoch : 184/500, train loss = 1.0889, val loss = 36.4988
epoch : 185/500, train loss = 1.1086, val loss = 35.8719
epoch : 186/500, train loss = 1.0845, val loss = 35.6745
epoch : 187/500, train loss = 1.0723, val loss = 35.4548
epoch : 188/500, train loss = 1.0739, val loss = 36.4052
epoch : 189/500, train loss = 1.0687, val loss = 35.7768
epoch : 190/500, train loss = 1.0565, val loss = 37.4142
epoch : 191/500, train loss = 1.0538, val loss = 37.0774
epoch : 192/500, train loss = 1.0486, val loss = 35.3669
epoch : 193/500, train loss = 1.0612, val loss = 35.8129
epoch : 194/500, train loss = 1.0504, val loss = 36.9914
epoch : 195/500, train loss = 1.0572, val loss = 36.3658
epoch : 196/500, train loss = 1.0635, val loss = 35.5744
epoch : 197/500, train loss = 1.0812, val loss = 36.4074
epoch : 198/500, train loss = 1.0665, val loss = 36.9503
epoch : 199/500, train loss = 1.0779, val loss = 37.5180
epoch : 200/500, train loss = 1.0841, val loss = 36.4030
epoch : 201/500, train loss = 1.0617, val loss = 37.4779
epoch : 202/500, train loss = 1.0574, val loss = 36.8233
epoch : 203/500, train loss = 1.0498, val loss = 36.5084
epoch : 204/500, train loss = 1.0409, val loss = 36.5937
epoch : 205/500, train loss = 1.0440, val loss = 37.9112
epoch : 206/500, train loss = 1.0708, val loss = 36.3859
epoch : 207/500, train loss = 1.0853, val loss = 35.0547
epoch : 208/500, train loss = 1.0480, val loss = 35.9344
epoch : 209/500, train loss = 1.0258, val loss = 37.1195
epoch : 210/500, train loss = 1.0610, val loss = 36.0991
epoch : 211/500, train loss = 1.0971, val loss = 37.5847
epoch : 212/500, train loss = 1.0818, val loss = 35.9723
epoch : 213/500, train loss = 1.1071, val loss = 35.4051
epoch : 214/500, train loss = 1.0855, val loss = 36.0846
epoch : 215/500, train loss = 1.0580, val loss = 35.9359
epoch : 216/500, train loss = 1.0446, val loss = 37.1597
epoch : 217/500, train loss = 1.0554, val loss = 35.6081
epoch : 218/500, train loss = 1.0489, val loss = 38.6269
epoch : 219/500, train loss = 1.0380, val loss = 36.1981
epoch : 220/500, train loss = 1.0233, val loss = 36.6596
epoch : 221/500, train loss = 1.0629, val loss = 35.9147
epoch : 222/500, train loss = 1.0707, val loss = 36.4138
epoch : 223/500, train loss = 1.0423, val loss = 37.1660
epoch : 224/500, train loss = 1.0361, val loss = 34.9457
epoch : 225/500, train loss = 1.0397, val loss = 37.1040
epoch : 226/500, train loss = 1.0472, val loss = 37.1488
epoch : 227/500, train loss = 1.1282, val loss = 36.1842
epoch : 228/500, train loss = 1.0699, val loss = 37.1841
epoch : 229/500, train loss = 1.0720, val loss = 36.5292
epoch : 230/500, train loss = 1.0821, val loss = 36.6955
epoch : 231/500, train loss = 1.0410, val loss = 37.1472
epoch : 232/500, train loss = 1.0341, val loss = 37.3501
epoch : 233/500, train loss = 1.0495, val loss = 36.7184
epoch : 234/500, train loss = 1.0052, val loss = 36.9380
epoch : 235/500, train loss = 1.0081, val loss = 35.6730
epoch : 236/500, train loss = 1.0176, val loss = 36.0799
epoch : 237/500, train loss = 0.9872, val loss = 35.8420
epoch : 238/500, train loss = 0.9892, val loss = 35.7756
epoch : 239/500, train loss = 0.9701, val loss = 36.0813
epoch : 240/500, train loss = 0.9739, val loss = 35.8736
epoch : 241/500, train loss = 0.9858, val loss = 37.4960
epoch : 242/500, train loss = 0.9784, val loss = 37.4713
epoch : 243/500, train loss = 0.9683, val loss = 35.1519
epoch : 244/500, train loss = 1.0033, val loss = 35.7825
epoch : 245/500, train loss = 1.0017, val loss = 37.5430
epoch : 246/500, train loss = 0.9800, val loss = 37.4838
epoch : 247/500, train loss = 0.9746, val loss = 37.2590
epoch : 248/500, train loss = 1.0078, val loss = 35.9517
epoch : 249/500, train loss = 1.0387, val loss = 36.3141
epoch : 250/500, train loss = 0.9880, val loss = 36.3976
epoch : 251/500, train loss = 0.9652, val loss = 37.9178
epoch : 252/500, train loss = 0.9740, val loss = 36.6038
epoch : 253/500, train loss = 0.9715, val loss = 37.2780
epoch : 254/500, train loss = 0.9548, val loss = 35.6949
epoch : 255/500, train loss = 0.9597, val loss = 37.3386
epoch : 256/500, train loss = 0.9450, val loss = 37.1836
epoch : 257/500, train loss = 0.9416, val loss = 36.4472
epoch : 258/500, train loss = 0.9579, val loss = 35.7601
epoch : 259/500, train loss = 0.9446, val loss = 37.3492
epoch : 260/500, train loss = 0.9334, val loss = 37.3960
